Datum (Ortszeit);Stunde des Tages (Ortszeit);Vollständigkeit;ZScore_Det0;ZScore_Det1;ZScore_Det2;hist_cor;localTime;month;qkfz;qlkw;qpkw;utc;vkfz;vlkw;vpkw
2023-09-01;0;100.00;0.00;0.00;0.00;0.93;2023-09-01 00:00:00+02:00;8.00;22.00;4.00;18.00;2023-08-31 22:00:00+00:00;49.00;45.00;50.00
2023-09-01;1;100.00;0.00;0.00;0.00;0.93;2023-09-01 01:00:00+02:00;8.00;11.00;3.00;8.00;2023-08-31 23:00:00+00:00;51.00;49.00;52.00
2023-09-01;2;100.00;0.00;0.00;0.00;0.92;2023-09-01 02:00:00+02:00;9.00;12.00;5.00;7.00;2023-09-01 00:00:00+00:00;47.00;47.00;47.00
2023-09-01;3;100.00;0.00;0.00;0.00;0.92;2023-09-01 03:00:00+02:00;9.00;15.00;2.00;13.00;2023-09-01 01:00:00+00:00;50.00;52.00;50.00
2023-09-01;4;100.00;0.00;0.00;0.00;0.92;2023-09-01 04:00:00+02:00;9.00;66.00;7.00;59.00;2023-09-01 02:00:00+00:00;44.00;41.00;45.00
2023-09-01;5;92.00;0.00;0.00;0.00;0.92;2023-09-01 05:00:00+02:00;9.00;238.00;13.00;225.00;2023-09-01 03:00:00+00:00;42.00;40.00;42.00
2023-09-01;6;92.00;0.00;0.00;0.00;0.92;2023-09-01 06:00:00+02:00;9.00;348.00;7.00;341.00;2023-09-01 04:00:00+00:00;26.00;26.00;26.00
2023-09-01;7;100.00;0.00;0.00;0.00;0.92;2023-09-01 07:00:00+02:00;9.00;432.00;11.00;421.00;2023-09-01 05:00:00+00:00;28.00;29.00;28.00
2023-09-01;8;100.00;0.00;0.00;0.00;0.92;2023-09-01 08:00:00+02:00;9.00;382.00;10.00;372.00;2023-09-01 06:00:00+00:00;28.00;29.00;28.00
2023-09-01;9;100.00;0.00;0.00;0.00;0.92;2023-09-01 09:00:00+02:00;9.00;346.00;17.00;329.00;2023-09-01 07:00:00+00:00;36.00;43.00;35.00
2023-09-01;10;100.00;0.00;0.00;0.00;0.92;2023-09-01 10:00:00+02:00;9.00;343.00;18.00;325.00;2023-09-01 08:00:00+00:00;40.00;40.00;40.00
2023-09-01;11;100.00;0.00;0.00;0.00;0.92;2023-09-01 11:00:00+02:00;9.00;349.00;23.00;326.00;2023-09-01 09:00:00+00:00;41.00;41.00;41.00
2023-09-01;12;100.00;0.00;0.00;0.00;0.92;2023-09-01 12:00:00+02:00;9.00;305.00;18.00;287.00;2023-09-01 10:00:00+00:00;43.00;44.00;43.00
