Datum (Ortszeit);Stunde des Tages (Ortszeit);Vollständigkeit;ZScore_Det0;ZScore_Det1;ZScore_Det2;hist_cor;localTime;month;qkfz;qlkw;qpkw;utc;vkfz;vlkw;vpkw
2023-09-01;0;100.00;0.00;0.00;0.00;0.75;2023-09-01 00:00:00+02:00;8.00;115.00;4.00;111.00;2023-08-31 22:00:00+00:00;40.00;38.00;40.00
2023-09-01;1;100.00;0.00;0.00;0.00;0.75;2023-09-01 01:00:00+02:00;8.00;75.00;2.00;73.00;2023-08-31 23:00:00+00:00;37.00;38.00;37.00
2023-09-01;2;100.00;0.00;0.00;0.00;0.74;2023-09-01 02:00:00+02:00;9.00;48.00;1.00;47.00;2023-09-01 00:00:00+00:00;36.00;36.00;36.00
2023-09-01;3;100.00;0.00;0.00;0.00;0.74;2023-09-01 03:00:00+02:00;9.00;44.00;2.00;42.00;2023-09-01 01:00:00+00:00;36.00;32.00;37.00
2023-09-01;4;100.00;0.00;0.00;0.00;0.74;2023-09-01 04:00:00+02:00;9.00;68.00;5.00;63.00;2023-09-01 02:00:00+00:00;36.00;36.00;36.00
2023-09-01;5;100.00;0.00;0.00;0.00;0.74;2023-09-01 05:00:00+02:00;9.00;91.00;4.00;87.00;2023-09-01 03:00:00+00:00;35.00;34.00;35.00
2023-09-01;6;100.00;0.00;0.00;0.00;0.74;2023-09-01 06:00:00+02:00;9.00;131.00;9.00;122.00;2023-09-01 04:00:00+00:00;37.00;36.00;37.00
2023-09-01;7;100.00;0.00;0.00;0.00;0.74;2023-09-01 07:00:00+02:00;9.00;237.00;2.00;235.00;2023-09-01 05:00:00+00:00;33.00;37.00;33.00
2023-09-01;8;100.00;0.00;0.00;0.00;0.74;2023-09-01 08:00:00+02:00;9.00;246.00;7.00;239.00;2023-09-01 06:00:00+00:00;30.00;30.00;30.00
2023-09-01;9;100.00;0.00;0.00;0.00;0.74;2023-09-01 09:00:00+02:00;9.00;221.00;9.00;212.00;2023-09-01 07:00:00+00:00;34.00;34.00;34.00
2023-09-01;10;100.00;0.00;0.00;0.00;0.74;2023-09-01 10:00:00+02:00;9.00;180.00;6.00;174.00;2023-09-01 08:00:00+00:00;33.00;34.00;33.00
2023-09-01;11;100.00;0.00;0.00;0.00;0.74;2023-09-01 11:00:00+02:00;9.00;201.00;8.00;193.00;2023-09-01 09:00:00+00:00;34.00;35.00;34.00
2023-09-01;12;100.00;0.00;0.00;0.00;0.74;2023-09-01 12:00:00+02:00;9.00;190.00;2.00;188.00;2023-09-01 10:00:00+00:00;36.00;36.00;36.00
2023-09-01;13;100.00;0.00;0.00;0.00;0.74;2023-09-01 13:00:00+02:00;9.00;202.00;1.00;201.00;2023-09-01 11:00:00+00:00;36.00;32.00;36.00
2023-09-01;14;100.00;0.00;0.00;0.00;0.74;2023-09-01 14:00:00+02:00;9.00;233.00;8.00;225.00;2023-09-01 12:00:00+00:00;34.00;33.00;34.00
2023-09-01;15;100.00;0.00;0.00;0.00;0.74;2023-09-01 15:00:00+02:00;9.00;232.00;5.00;227.00;2023-09-01 13:00:00+00:00;36.00;34.00;36.00
2023-09-01;16;100.00;0.00;0.00;0.00;0.74;2023-09-01 16:00:00+02:00;9.00;244.00;4.00;240.00;2023-09-01 14:00:00+00:00;36.00;37.00;36.00
2023-09-01;17;100.00;0.00;0.00;0.00;0.74;2023-09-01 17:00:00+02:00;9.00;252.00;3.00;249.00;2023-09-01 15:00:00+00:00;36.00;34.00;36.00
2023-09-01;18;100.00;0.00;0.00;0.00;0.74;2023-09-01 18:00:00+02:00;9.00;221.00;0.00;221.00;2023-09-01 16:00:00+00:00;37.00;NaN;37.00
2023-09-01;19;100.00;0.00;0.00;0.00;0.74;2023-09-01 19:00:00+02:00;9.00;210.00;5.00;205.00;2023-09-01 17:00:00+00:00;38.00;37.00;38.00
2023-09-01;20;100.00;0.00;0.00;0.00;0.74;2023-09-01 20:00:00+02:00;9.00;224.00;1.00;223.00;2023-09-01 18:00:00+00:00;38.00;39.00;38.00
2023-09-01;21;100.00;0.00;0.00;0.00;0.74;2023-09-01 21:00:00+02:00;9.00;201.00;0.00;201.00;2023-09-01 19:00:00+00:00;38.00;NaN;38.00
2023-09-01;22;100.00;0.00;0.00;0.00;0.74;2023-09-01 22:00:00+02:00;9.00;167.00;1.00;166.00;2023-09-01 20:00:00+00:00;37.00;35.00;37.00
2023-09-01;23;100.00;0.00;0.00;0.00;0.74;2023-09-01 23:00:00+02:00;9.00;161.00;0.00;161.00;2023-09-01 21:00:00+00:00;35.00;NaN;35.00
2023-09-02;0;100.00;0.00;0.00;0.00;0.74;2023-09-02 00:00:00+02:00;9.00;154.00;2.00;152.00;2023-09-01 22:00:00+00:00;35.00;38.00;35.00
2023-09-02;1;100.00;0.00;0.00;0.00;0.74;2023-09-02 01:00:00+02:00;9.00;98.00;2.00;96.00;2023-09-01 23:00:00+00:00;37.00;37.00;37.00
2023-09-02;2;100.00;0.00;0.00;0.00;0.71;2023-09-02 02:00:00+02:00;9.00;77.00;3.00;74.00;2023-09-02 00:00:00+00:00;39.00;39.00;39.00
2023-09-02;3;100.00;0.00;0.00;0.00;0.71;2023-09-02 03:00:00+02:00;9.00;77.00;3.00;74.00;2023-09-02 01:00:00+00:00;39.00;37.00;40.00
2023-09-02;4;100.00;0.00;0.00;0.00;0.71;2023-09-02 04:00:00+02:00;9.00;75.00;3.00;72.00;2023-09-02 02:00:00+00:00;37.00;35.00;37.00
2023-09-02;5;100.00;0.00;0.00;0.00;0.71;2023-09-02 05:00:00+02:00;9.00;58.00;4.00;54.00;2023-09-02 03:00:00+00:00;37.00;35.00;38.00
2023-09-02;6;100.00;0.00;0.00;0.00;0.71;2023-09-02 06:00:00+02:00;9.00;77.00;1.00;76.00;2023-09-02 04:00:00+00:00;39.00;36.00;39.00
2023-09-02;7;100.00;0.00;0.00;0.00;0.71;2023-09-02 07:00:00+02:00;9.00;106.00;0.00;106.00;2023-09-02 05:00:00+00:00;37.00;NaN;37.00
2023-09-02;8;100.00;0.00;0.00;0.00;0.71;2023-09-02 08:00:00+02:00;9.00;146.00;1.00;145.00;2023-09-02 06:00:00+00:00;34.00;33.00;34.00
