Datum (Ortszeit);Stunde des Tages (Ortszeit);Vollständigkeit;ZScore_Det0;ZScore_Det1;ZScore_Det2;hist_cor;localTime;month;qkfz;qlkw;qpkw;utc;vkfz;vlkw;vpkw
2023-09-01;0;100.00;0.00;NaN;0.00;0.88;2023-09-01 00:00:00+02:00;8.00;83.00;2.00;81.00;2023-08-31 22:00:00+00:00;51.00;54.00;51.00
2023-09-01;1;100.00;0.00;NaN;0.00;0.88;2023-09-01 01:00:00+02:00;8.00;50.00;1.00;49.00;2023-08-31 23:00:00+00:00;50.00;49.00;50.00
2023-09-01;2;8.00;-1.42;NaN;0.00;0.93;2023-09-01 02:00:00+02:00;9.00;60.00;0.00;60.00;2023-09-01 00:00:00+00:00;50.00;NaN;50.00
2023-09-01;8;17.00;-1.42;NaN;0.00;0.93;2023-09-01 08:00:00+02:00;9.00;396.00;36.00;360.00;2023-09-01 06:00:00+00:00;48.00;48.00;48.00
2023-09-01;9;17.00;-1.42;NaN;0.00;0.93;2023-09-01 09:00:00+02:00;9.00;420.00;30.00;390.00;2023-09-01 07:00:00+00:00;46.00;46.00;46.00
2023-09-01;11;50.00;-1.42;NaN;0.00;0.93;2023-09-01 11:00:00+02:00;9.00;470.00;28.00;442.00;2023-09-01 09:00:00+00:00;48.00;50.00;48.00
2023-09-02;0;75.00;-1.42;NaN;0.00;0.93;2023-09-02 00:00:00+02:00;9.00;135.00;3.00;132.00;2023-09-01 22:00:00+00:00;50.00;50.00;50.00
2023-09-02;4;50.00;0.00;NaN;0.00;0.85;2023-09-02 04:00:00+02:00;9.00;60.00;2.00;58.00;2023-09-02 02:00:00+00:00;50.00;50.00;50.00
2023-09-02;5;100.00;0.00;NaN;0.00;0.85;2023-09-02 05:00:00+02:00;9.00;58.00;2.00;56.00;2023-09-02 03:00:00+00:00;54.00;54.00;54.00
2023-09-02;6;100.00;0.00;NaN;0.00;0.85;2023-09-02 06:00:00+02:00;9.00;91.00;5.00;86.00;2023-09-02 04:00:00+00:00;55.00;54.00;55.00
2023-09-02;7;100.00;0.00;NaN;0.00;0.85;2023-09-02 07:00:00+02:00;9.00;125.00;5.00;120.00;2023-09-02 05:00:00+00:00;53.00;52.00;53.00
2023-09-02;8;100.00;0.00;NaN;0.00;0.85;2023-09-02 08:00:00+02:00;9.00;207.00;5.00;202.00;2023-09-02 06:00:00+00:00;51.00;53.00;51.00
