Datum (Ortszeit);Stunde des Tages (Ortszeit);Vollständigkeit;ZScore_Det0;ZScore_Det1;ZScore_Det2;hist_cor;localTime;month;qkfz;qlkw;qpkw;utc;vkfz;vlkw;vpkw
2023-09-01;0;100.00;0.62;0.57;0.00;0.94;2023-09-01 00:00:00+02:00;8.00;254.00;14.00;240.00;2023-08-31 22:00:00+00:00;63.00;63.00;63.00
2023-09-01;1;100.00;0.62;0.57;0.00;0.94;2023-09-01 01:00:00+02:00;8.00;171.00;10.00;161.00;2023-08-31 23:00:00+00:00;63.00;63.00;63.00
2023-09-01;2;100.00;0.52;0.80;0.00;0.93;2023-09-01 02:00:00+02:00;9.00;135.00;10.00;125.00;2023-09-01 00:00:00+00:00;66.00;65.00;66.00
2023-09-01;3;100.00;0.52;0.80;0.00;0.93;2023-09-01 03:00:00+02:00;9.00;104.00;7.00;97.00;2023-09-01 01:00:00+00:00;63.00;62.00;63.00
2023-09-01;4;100.00;0.52;0.80;0.00;0.93;2023-09-01 04:00:00+02:00;9.00;122.00;16.00;106.00;2023-09-01 02:00:00+00:00;62.00;61.00;62.00
2023-09-01;5;100.00;0.52;0.80;0.00;0.93;2023-09-01 05:00:00+02:00;9.00;195.00;47.00;148.00;2023-09-01 03:00:00+00:00;64.00;64.00;64.00
2023-09-01;6;100.00;0.52;0.80;0.00;0.93;2023-09-01 06:00:00+02:00;9.00;379.00;59.00;320.00;2023-09-01 04:00:00+00:00;60.00;61.00;59.00
2023-09-01;7;100.00;0.52;0.80;0.00;0.93;2023-09-01 07:00:00+02:00;9.00;459.00;68.00;391.00;2023-09-01 05:00:00+00:00;57.00;57.00;57.00
2023-09-01;8;100.00;0.52;0.80;0.00;0.93;2023-09-01 08:00:00+02:00;9.00;568.00;45.00;523.00;2023-09-01 06:00:00+00:00;48.00;49.00;48.00
2023-09-01;9;100.00;0.52;0.80;0.00;0.93;2023-09-01 09:00:00+02:00;9.00;565.00;37.00;528.00;2023-09-01 07:00:00+00:00;56.00;56.00;56.00
2023-09-01;10;100.00;0.52;0.80;0.00;0.93;2023-09-01 10:00:00+02:00;9.00;557.00;80.00;477.00;2023-09-01 08:00:00+00:00;60.00;61.00;59.00
2023-09-01;11;100.00;0.52;0.80;0.00;0.93;2023-09-01 11:00:00+02:00;9.00;584.00;84.00;500.00;2023-09-01 09:00:00+00:00;57.00;57.00;57.00
2023-09-01;12;100.00;0.52;0.80;0.00;0.93;2023-09-01 12:00:00+02:00;9.00;622.00;130.00;492.00;2023-09-01 10:00:00+00:00;54.00;54.00;54.00
2023-09-01;13;100.00;0.52;0.80;0.00;0.93;2023-09-01 13:00:00+02:00;9.00;609.00;137.00;472.00;2023-09-01 11:00:00+00:00;53.00;53.00;53.00
2023-09-01;14;100.00;0.52;0.80;0.00;0.93;2023-09-01 14:00:00+02:00;9.00;555.00;108.00;447.00;2023-09-01 12:00:00+00:00;55.00;54.00;55.00
2023-09-01;15;100.00;0.52;0.80;0.00;0.93;2023-09-01 15:00:00+02:00;9.00;587.00;176.00;411.00;2023-09-01 13:00:00+00:00;47.00;45.00;47.00
2023-09-01;16;100.00;0.52;0.80;0.00;0.93;2023-09-01 16:00:00+02:00;9.00;601.00;109.00;492.00;2023-09-01 14:00:00+00:00;55.00;55.00;55.00
2023-09-01;17;100.00;0.52;0.80;0.00;0.93;2023-09-01 17:00:00+02:00;9.00;633.00;96.00;537.00;2023-09-01 15:00:00+00:00;50.00;50.00;51.00
2023-09-01;18;100.00;0.52;0.80;0.00;0.93;2023-09-01 18:00:00+02:00;9.00;578.00;118.00;460.00;2023-09-01 16:00:00+00:00;49.00;51.00;49.00
2023-09-01;19;100.00;0.52;0.80;0.00;0.93;2023-09-01 19:00:00+02:00;9.00;639.00;78.00;561.00;2023-09-01 17:00:00+00:00;53.00;53.00;53.00
2023-09-01;20;100.00;0.52;0.80;0.00;0.93;2023-09-01 20:00:00+02:00;9.00;596.00;108.00;488.00;2023-09-01 18:00:00+00:00;54.00;54.00;54.00
2023-09-01;21;100.00;0.52;0.80;0.00;0.93;2023-09-01 21:00:00+02:00;9.00;599.00;61.00;538.00;2023-09-01 19:00:00+00:00;53.00;53.00;53.00
2023-09-01;22;100.00;0.52;0.80;0.00;0.93;2023-09-01 22:00:00+02:00;9.00;536.00;41.00;495.00;2023-09-01 20:00:00+00:00;55.00;55.00;55.00
2023-09-01;23;100.00;0.52;0.80;0.00;0.93;2023-09-01 23:00:00+02:00;9.00;486.00;23.00;463.00;2023-09-01 21:00:00+00:00;58.00;58.00;58.00
2023-09-02;0;100.00;0.52;0.80;0.00;0.93;2023-09-02 00:00:00+02:00;9.00;388.00;12.00;376.00;2023-09-01 22:00:00+00:00;59.00;59.00;59.00
2023-09-02;1;100.00;0.52;0.80;0.00;0.93;2023-09-02 01:00:00+02:00;9.00;272.00;5.00;267.00;2023-09-01 23:00:00+00:00;62.00;61.00;62.00
2023-09-02;2;100.00;0.58;0.55;-1.36;0.91;2023-09-02 02:00:00+02:00;9.00;238.00;9.00;229.00;2023-09-02 00:00:00+00:00;62.00;62.00;62.00
2023-09-02;3;100.00;0.58;0.55;-1.36;0.91;2023-09-02 03:00:00+02:00;9.00;175.00;9.00;166.00;2023-09-02 01:00:00+00:00;63.00;64.00;63.00
2023-09-02;4;100.00;0.58;0.55;-1.36;0.91;2023-09-02 04:00:00+02:00;9.00;155.00;13.00;142.00;2023-09-02 02:00:00+00:00;63.00;63.00;63.00
2023-09-02;5;100.00;0.58;0.55;-1.36;0.91;2023-09-02 05:00:00+02:00;9.00;165.00;22.00;143.00;2023-09-02 03:00:00+00:00;65.00;65.00;66.00
2023-09-02;6;100.00;0.58;0.55;-1.36;0.91;2023-09-02 06:00:00+02:00;9.00;185.00;23.00;162.00;2023-09-02 04:00:00+00:00;64.00;64.00;64.00
2023-09-02;7;100.00;0.58;0.55;-1.36;0.91;2023-09-02 07:00:00+02:00;9.00;248.00;24.00;224.00;2023-09-02 05:00:00+00:00;62.00;62.00;62.00
2023-09-02;8;100.00;0.58;0.55;-1.36;0.91;2023-09-02 08:00:00+02:00;9.00;325.00;26.00;299.00;2023-09-02 06:00:00+00:00;59.00;59.00;59.00
2023-09-02;9;100.00;0.58;0.55;-1.36;0.91;2023-09-02 09:00:00+02:00;9.00;409.00;65.00;344.00;2023-09-02 07:00:00+00:00;60.00;59.00;60.00
2023-09-02;10;100.00;0.58;0.55;-1.36;0.91;2023-09-02 10:00:00+02:00;9.00;483.00;104.00;379.00;2023-09-02 08:00:00+00:00;58.00;58.00;58.00
2023-09-02;11;100.00;0.58;0.55;-1.36;0.91;2023-09-02 11:00:00+02:00;9.00;500.00;166.00;334.00;2023-09-02 09:00:00+00:00;57.00;58.00;57.00
2023-09-02;12;100.00;0.58;0.55;-1.36;0.91;2023-09-02 12:00:00+02:00;9.00;524.00;179.00;345.00;2023-09-02 10:00:00+00:00;57.00;55.00;57.00
2023-09-02;13;100.00;0.58;0.55;-1.36;0.91;2023-09-02 13:00:00+02:00;9.00;565.00;161.00;404.00;2023-09-02 11:00:00+00:00;58.00;57.00;58.00
2023-09-02;14;100.00;0.58;0.55;-1.36;0.91;2023-09-02 14:00:00+02:00;9.00;558.00;247.00;311.00;2023-09-02 12:00:00+00:00;55.00;55.00;56.00
2023-09-02;15;100.00;0.58;0.55;-1.36;0.91;2023-09-02 15:00:00+02:00;9.00;595.00;245.00;350.00;2023-09-02 13:00:00+00:00;55.00;55.00;54.00
2023-09-02;16;100.00;0.58;0.55;-1.36;0.91;2023-09-02 16:00:00+02:00;9.00;608.00;151.00;457.00;2023-09-02 14:00:00+00:00;53.00;53.00;53.00
2023-09-02;17;100.00;0.58;0.55;-1.36;0.91;2023-09-02 17:00:00+02:00;9.00;559.00;43.00;516.00;2023-09-02 15:00:00+00:00;54.00;53.00;54.00
2023-09-02;18;100.00;0.58;0.55;-1.36;0.91;2023-09-02 18:00:00+02:00;9.00;609.00;125.00;484.00;2023-09-02 16:00:00+00:00;53.00;53.00;53.00
2023-09-02;19;100.00;0.58;0.55;-1.36;0.91;2023-09-02 19:00:00+02:00;9.00;629.00;116.00;513.00;2023-09-02 17:00:00+00:00;51.00;50.00;51.00
2023-09-02;20;100.00;0.58;0.55;-1.36;0.91;2023-09-02 20:00:00+02:00;9.00;590.00;55.00;535.00;2023-09-02 18:00:00+00:00;51.00;51.00;51.00
2023-09-02;21;100.00;0.58;0.55;-1.36;0.91;2023-09-02 21:00:00+02:00;9.00;574.00;25.00;549.00;2023-09-02 19:00:00+00:00;55.00;55.00;55.00
2023-09-02;22;100.00;0.58;0.55;-1.36;0.91;2023-09-02 22:00:00+02:00;9.00;495.00;17.00;478.00;2023-09-02 20:00:00+00:00;56.00;56.00;56.00
2023-09-02;23;100.00;0.58;0.55;-1.36;0.91;2023-09-02 23:00:00+02:00;9.00;534.00;9.00;525.00;2023-09-02 21:00:00+00:00;56.00;56.00;56.00
2023-09-03;0;100.00;0.58;0.55;-1.36;0.91;2023-09-03 00:00:00+02:00;9.00;419.00;7.00;412.00;2023-09-02 22:00:00+00:00;59.00;59.00;59.00
2023-09-03;1;100.00;0.58;0.55;-1.36;0.91;2023-09-03 01:00:00+02:00;9.00;341.00;30.00;311.00;2023-09-02 23:00:00+00:00;62.00;62.00;62.00
2023-09-03;2;100.00;0.54;0.97;0.00;0.91;2023-09-03 02:00:00+02:00;9.00;279.00;36.00;243.00;2023-09-03 00:00:00+00:00;62.00;62.00;62.00
2023-09-03;3;100.00;0.54;0.97;0.00;0.91;2023-09-03 03:00:00+02:00;9.00;208.00;24.00;184.00;2023-09-03 01:00:00+00:00;65.00;66.00;65.00
2023-09-03;4;100.00;0.54;0.97;0.00;0.91;2023-09-03 04:00:00+02:00;9.00;160.00;13.00;147.00;2023-09-03 02:00:00+00:00;65.00;64.00;65.00
2023-09-03;5;100.00;0.54;0.97;0.00;0.91;2023-09-03 05:00:00+02:00;9.00;154.00;7.00;147.00;2023-09-03 03:00:00+00:00;66.00;66.00;66.00
2023-09-03;6;100.00;0.54;0.97;0.00;0.91;2023-09-03 06:00:00+02:00;9.00;148.00;13.00;135.00;2023-09-03 04:00:00+00:00;67.00;69.00;67.00
2023-09-03;7;100.00;0.54;0.97;0.00;0.91;2023-09-03 07:00:00+02:00;9.00;134.00;8.00;126.00;2023-09-03 05:00:00+00:00;65.00;65.00;65.00
2023-09-03;8;100.00;0.54;0.97;0.00;0.91;2023-09-03 08:00:00+02:00;9.00;199.00;35.00;164.00;2023-09-03 06:00:00+00:00;61.00;61.00;61.00
2023-09-03;9;100.00;0.54;0.97;0.00;0.91;2023-09-03 09:00:00+02:00;9.00;265.00;68.00;197.00;2023-09-03 07:00:00+00:00;60.00;59.00;60.00
2023-09-03;10;100.00;0.54;0.97;0.00;0.91;2023-09-03 10:00:00+02:00;9.00;405.00;146.00;259.00;2023-09-03 08:00:00+00:00;50.00;52.00;49.00
