Datum (Ortszeit);Stunde des Tages (Ortszeit);Vollständigkeit;ZScore_Det0;ZScore_Det1;ZScore_Det2;hist_cor;localTime;month;qkfz;qlkw;qpkw;utc;vkfz;vlkw;vpkw
2023-09-01;2;83.00;0.91;-2.58;0.10;0.94;2023-09-01 02:00:00+02:00;9.00;25.00;0.00;25.00;2023-09-01 00:00:00+00:00;56.00;NaN;56.00
2023-09-01;3;100.00;0.91;-2.58;0.10;0.94;2023-09-01 03:00:00+02:00;9.00;36.00;4.00;32.00;2023-09-01 01:00:00+00:00;47.00;46.00;47.00
2023-09-01;4;58.00;0.91;-2.58;0.10;0.94;2023-09-01 04:00:00+02:00;9.00;50.00;0.00;50.00;2023-09-01 02:00:00+00:00;35.00;NaN;35.00
2023-09-01;6;25.00;0.91;-2.58;0.10;0.94;2023-09-01 06:00:00+02:00;9.00;284.00;20.00;264.00;2023-09-01 04:00:00+00:00;50.00;51.00;50.00
2023-09-01;7;100.00;0.91;-2.58;0.10;0.94;2023-09-01 07:00:00+02:00;9.00;414.00;26.00;388.00;2023-09-01 05:00:00+00:00;43.00;43.00;43.00
2023-09-01;8;100.00;0.91;-2.58;0.10;0.94;2023-09-01 08:00:00+02:00;9.00;434.00;31.00;403.00;2023-09-01 06:00:00+00:00;53.00;54.00;53.00
2023-09-01;9;100.00;0.91;-2.58;0.10;0.94;2023-09-01 09:00:00+02:00;9.00;391.00;36.00;355.00;2023-09-01 07:00:00+00:00;59.00;58.00;59.00
2023-09-01;10;100.00;0.91;-2.58;0.10;0.94;2023-09-01 10:00:00+02:00;9.00;455.00;40.00;415.00;2023-09-01 08:00:00+00:00;58.00;58.00;58.00
2023-09-01;11;42.00;0.91;-2.58;0.10;0.94;2023-09-01 11:00:00+02:00;9.00;415.00;29.00;386.00;2023-09-01 09:00:00+00:00;59.00;58.00;59.00
2023-09-01;15;17.00;0.91;-2.58;0.10;0.94;2023-09-01 15:00:00+02:00;9.00;654.00;18.00;636.00;2023-09-01 13:00:00+00:00;62.00;61.00;62.00
2023-09-01;16;100.00;0.91;-2.58;0.10;0.94;2023-09-01 16:00:00+02:00;9.00;580.00;14.00;566.00;2023-09-01 14:00:00+00:00;58.00;58.00;58.00
2023-09-01;17;100.00;0.91;-2.58;0.10;0.94;2023-09-01 17:00:00+02:00;9.00;467.00;9.00;458.00;2023-09-01 15:00:00+00:00;58.00;59.00;58.00
2023-09-01;18;100.00;0.91;-2.58;0.10;0.94;2023-09-01 18:00:00+02:00;9.00;436.00;9.00;427.00;2023-09-01 16:00:00+00:00;57.00;58.00;57.00
2023-09-01;19;50.00;0.91;-2.58;0.10;0.94;2023-09-01 19:00:00+02:00;9.00;330.00;12.00;318.00;2023-09-01 17:00:00+00:00;59.00;57.00;59.00
2023-09-02;1;8.00;0.91;-2.58;0.10;0.94;2023-09-02 01:00:00+02:00;9.00;24.00;0.00;24.00;2023-09-01 23:00:00+00:00;78.00;NaN;78.00
2023-09-02;2;100.00;-3.32;0.00;-10.14;-0.21;2023-09-02 02:00:00+02:00;9.00;42.00;3.00;39.00;2023-09-02 00:00:00+00:00;60.00;58.00;60.00
2023-09-02;3;8.00;-3.32;0.00;-10.14;-0.21;2023-09-02 03:00:00+02:00;9.00;36.00;0.00;36.00;2023-09-02 01:00:00+00:00;59.00;NaN;59.00
2023-09-04;1;58.00;-2.40;-2.58;-10.37;-0.23;2023-09-04 01:00:00+02:00;9.00;22.00;0.00;22.00;2023-09-03 23:00:00+00:00;48.00;NaN;48.00
2023-09-04;2;100.00;2.09;0.00;-7.71;0.44;2023-09-04 02:00:00+02:00;9.00;23.00;1.00;22.00;2023-09-04 00:00:00+00:00;48.00;48.00;48.00
2023-09-04;3;83.00;2.09;0.00;-7.71;0.44;2023-09-04 03:00:00+02:00;9.00;34.00;2.00;31.00;2023-09-04 01:00:00+00:00;44.00;48.00;44.00
2023-09-05;11;8.00;1.31;0.00;0.36;0.33;2023-09-05 11:00:00+02:00;9.00;0.00;0.00;0.00;2023-09-05 09:00:00+00:00;NaN;NaN;NaN
2023-09-05;18;42.00;1.31;0.00;0.36;0.33;2023-09-05 18:00:00+02:00;9.00;430.00;7.00;422.00;2023-09-05 16:00:00+00:00;58.00;59.00;58.00
2023-09-05;19;75.00;1.31;0.00;0.36;0.33;2023-09-05 19:00:00+02:00;9.00;359.00;13.00;345.00;2023-09-05 17:00:00+00:00;58.00;58.00;58.00
2023-09-12;7;8.00;NaN;NaN;NaN;NaN;2023-09-12 07:00:00+02:00;9.00;0.00;0.00;0.00;2023-09-12 05:00:00+00:00;NaN;NaN;NaN
2023-09-14;8;25.00;1.64;0.00;0.58;0.96;2023-09-14 08:00:00+02:00;9.00;456.00;28.00;428.00;2023-09-14 06:00:00+00:00;52.00;49.00;52.00
2023-09-14;9;50.00;1.64;0.00;0.58;0.96;2023-09-14 09:00:00+02:00;9.00;382.00;52.00;330.00;2023-09-14 07:00:00+00:00;53.00;53.00;52.00
2023-09-14;23;42.00;1.64;0.00;0.58;0.96;2023-09-14 23:00:00+02:00;9.00;106.00;2.00;103.00;2023-09-14 21:00:00+00:00;59.00;56.00;59.00
2023-09-15;0;100.00;1.64;0.00;0.58;0.96;2023-09-15 00:00:00+02:00;9.00;69.00;7.00;62.00;2023-09-14 22:00:00+00:00;59.00;59.00;59.00
2023-09-15;1;100.00;1.64;0.00;0.58;0.96;2023-09-15 01:00:00+02:00;9.00;55.00;4.00;51.00;2023-09-14 23:00:00+00:00;61.00;60.00;61.00
2023-09-15;2;17.00;0.08;0.00;-0.62;0.88;2023-09-15 02:00:00+02:00;9.00;24.00;0.00;24.00;2023-09-15 00:00:00+00:00;66.00;NaN;66.00
2023-09-15;4;50.00;0.08;0.00;-0.62;0.88;2023-09-15 04:00:00+02:00;9.00;92.00;14.00;78.00;2023-09-15 02:00:00+00:00;57.00;57.00;57.00
2023-09-15;5;100.00;0.08;0.00;-0.62;0.88;2023-09-15 05:00:00+02:00;9.00;177.00;23.00;154.00;2023-09-15 03:00:00+00:00;58.00;57.00;58.00
2023-09-15;6;100.00;0.08;0.00;-0.62;0.88;2023-09-15 06:00:00+02:00;9.00;281.00;30.00;251.00;2023-09-15 04:00:00+00:00;57.00;57.00;57.00
