Datum (Ortszeit);Stunde des Tages (Ortszeit);Vollständigkeit;ZScore_Det0;ZScore_Det1;ZScore_Det2;hist_cor;localTime;month;qkfz;qlkw;qpkw;utc;vkfz;vlkw;vpkw
2023-09-01;0;100.00;0.79;0.47;0.00;0.93;2023-09-01 00:00:00+02:00;8.00;122.00;5.00;117.00;2023-08-31 22:00:00+00:00;55.00;55.00;55.00
2023-09-01;1;100.00;0.79;0.47;0.00;0.93;2023-09-01 01:00:00+02:00;8.00;88.00;1.00;87.00;2023-08-31 23:00:00+00:00;55.00;57.00;55.00
2023-09-01;2;100.00;0.71;0.09;0.00;0.89;2023-09-01 02:00:00+02:00;9.00;52.00;2.00;50.00;2023-09-01 00:00:00+00:00;54.00;56.00;54.00
2023-09-01;3;100.00;0.71;0.09;0.00;0.89;2023-09-01 03:00:00+02:00;9.00;39.00;0.00;39.00;2023-09-01 01:00:00+00:00;57.00;NaN;57.00
2023-09-01;4;100.00;0.71;0.09;0.00;0.89;2023-09-01 04:00:00+02:00;9.00;46.00;3.00;43.00;2023-09-01 02:00:00+00:00;55.00;54.00;55.00
2023-09-01;5;100.00;0.71;0.09;0.00;0.89;2023-09-01 05:00:00+02:00;9.00;85.00;5.00;80.00;2023-09-01 03:00:00+00:00;56.00;56.00;56.00
2023-09-01;6;100.00;0.71;0.09;0.00;0.89;2023-09-01 06:00:00+02:00;9.00;203.00;18.00;185.00;2023-09-01 04:00:00+00:00;54.00;52.00;54.00
2023-09-01;7;100.00;0.71;0.09;0.00;0.89;2023-09-01 07:00:00+02:00;9.00;312.00;48.00;264.00;2023-09-01 05:00:00+00:00;54.00;54.00;54.00
2023-09-01;8;100.00;0.71;0.09;0.00;0.89;2023-09-01 08:00:00+02:00;9.00;463.00;45.00;418.00;2023-09-01 06:00:00+00:00;53.00;53.00;53.00
2023-09-01;9;100.00;0.71;0.09;0.00;0.89;2023-09-01 09:00:00+02:00;9.00;372.00;29.00;343.00;2023-09-01 07:00:00+00:00;53.00;54.00;53.00
2023-09-01;10;100.00;0.71;0.09;0.00;0.89;2023-09-01 10:00:00+02:00;9.00;389.00;27.00;362.00;2023-09-01 08:00:00+00:00;53.00;53.00;53.00
2023-09-01;11;100.00;0.71;0.09;0.00;0.89;2023-09-01 11:00:00+02:00;9.00;362.00;17.00;345.00;2023-09-01 09:00:00+00:00;51.00;50.00;51.00
2023-09-01;12;100.00;0.71;0.09;0.00;0.89;2023-09-01 12:00:00+02:00;9.00;414.00;27.00;387.00;2023-09-01 10:00:00+00:00;52.00;52.00;52.00
2023-09-01;13;100.00;0.71;0.09;0.00;0.89;2023-09-01 13:00:00+02:00;9.00;481.00;24.00;457.00;2023-09-01 11:00:00+00:00;54.00;54.00;54.00
2023-09-01;14;100.00;0.71;0.09;0.00;0.89;2023-09-01 14:00:00+02:00;9.00;478.00;18.00;460.00;2023-09-01 12:00:00+00:00;54.00;54.00;54.00
2023-09-01;15;100.00;0.71;0.09;0.00;0.89;2023-09-01 15:00:00+02:00;9.00;490.00;24.00;466.00;2023-09-01 13:00:00+00:00;53.00;53.00;53.00
2023-09-01;16;100.00;0.71;0.09;0.00;0.89;2023-09-01 16:00:00+02:00;9.00;503.00;43.00;460.00;2023-09-01 14:00:00+00:00;53.00;53.00;53.00
2023-09-01;17;100.00;0.71;0.09;0.00;0.89;2023-09-01 17:00:00+02:00;9.00;486.00;53.00;433.00;2023-09-01 15:00:00+00:00;54.00;54.00;54.00
2023-09-01;18;100.00;0.71;0.09;0.00;0.89;2023-09-01 18:00:00+02:00;9.00;444.00;56.00;388.00;2023-09-01 16:00:00+00:00;55.00;55.00;54.00
2023-09-01;19;92.00;0.71;0.09;0.00;0.89;2023-09-01 19:00:00+02:00;9.00;445.00;69.00;376.00;2023-09-01 17:00:00+00:00;53.00;54.00;53.00
2023-09-01;20;92.00;0.71;0.09;0.00;0.89;2023-09-01 20:00:00+02:00;9.00;290.00;23.00;267.00;2023-09-01 18:00:00+00:00;52.00;52.00;52.00
2023-09-01;21;92.00;0.71;0.09;0.00;0.89;2023-09-01 21:00:00+02:00;9.00;277.00;14.00;263.00;2023-09-01 19:00:00+00:00;53.00;54.00;53.00
2023-09-01;22;92.00;0.71;0.09;0.00;0.89;2023-09-01 22:00:00+02:00;9.00;233.00;29.00;204.00;2023-09-01 20:00:00+00:00;53.00;53.00;53.00
2023-09-01;23;100.00;0.71;0.09;0.00;0.89;2023-09-01 23:00:00+02:00;9.00;230.00;26.00;204.00;2023-09-01 21:00:00+00:00;54.00;54.00;54.00
2023-09-02;0;100.00;0.71;0.09;0.00;0.89;2023-09-02 00:00:00+02:00;9.00;169.00;9.00;160.00;2023-09-01 22:00:00+00:00;54.00;55.00;54.00
2023-09-02;1;100.00;0.71;0.09;0.00;0.89;2023-09-02 01:00:00+02:00;9.00;108.00;4.00;104.00;2023-09-01 23:00:00+00:00;55.00;56.00;55.00
2023-09-02;2;100.00;0.57;0.01;0.00;0.87;2023-09-02 02:00:00+02:00;9.00;93.00;5.00;88.00;2023-09-02 00:00:00+00:00;54.00;54.00;54.00
2023-09-02;3;100.00;0.57;0.01;0.00;0.87;2023-09-02 03:00:00+02:00;9.00;60.00;2.00;58.00;2023-09-02 01:00:00+00:00;57.00;62.00;57.00
2023-09-02;4;100.00;0.57;0.01;0.00;0.87;2023-09-02 04:00:00+02:00;9.00;50.00;1.00;49.00;2023-09-02 02:00:00+00:00;53.00;48.00;53.00
2023-09-02;5;100.00;0.57;0.01;0.00;0.87;2023-09-02 05:00:00+02:00;9.00;63.00;2.00;61.00;2023-09-02 03:00:00+00:00;57.00;58.00;57.00
2023-09-02;6;100.00;0.57;0.01;0.00;0.87;2023-09-02 06:00:00+02:00;9.00;86.00;6.00;80.00;2023-09-02 04:00:00+00:00;55.00;55.00;55.00
2023-09-02;7;100.00;0.57;0.01;0.00;0.87;2023-09-02 07:00:00+02:00;9.00;106.00;5.00;101.00;2023-09-02 05:00:00+00:00;54.00;54.00;54.00
2023-09-02;8;100.00;0.57;0.01;0.00;0.87;2023-09-02 08:00:00+02:00;9.00;140.00;9.00;131.00;2023-09-02 06:00:00+00:00;54.00;54.00;54.00
2023-09-02;9;100.00;0.57;0.01;0.00;0.87;2023-09-02 09:00:00+02:00;9.00;205.00;12.00;193.00;2023-09-02 07:00:00+00:00;53.00;53.00;53.00
2023-09-02;10;100.00;0.57;0.01;0.00;0.87;2023-09-02 10:00:00+02:00;9.00;225.00;10.00;215.00;2023-09-02 08:00:00+00:00;52.00;52.00;52.00
2023-09-02;11;92.00;0.57;0.01;0.00;0.87;2023-09-02 11:00:00+02:00;9.00;273.00;9.00;264.00;2023-09-02 09:00:00+00:00;53.00;52.00;53.00
2023-09-02;12;92.00;0.57;0.01;0.00;0.87;2023-09-02 12:00:00+02:00;9.00;320.00;15.00;304.00;2023-09-02 10:00:00+00:00;53.00;54.00;53.00
2023-09-02;13;92.00;0.57;0.01;0.00;0.87;2023-09-02 13:00:00+02:00;9.00;367.00;7.00;360.00;2023-09-02 11:00:00+00:00;53.00;54.00;52.00
2023-09-02;14;92.00;0.57;0.01;0.00;0.87;2023-09-02 14:00:00+02:00;9.00;329.00;22.00;308.00;2023-09-02 12:00:00+00:00;55.00;53.00;55.00
2023-09-02;15;92.00;0.57;0.01;0.00;0.87;2023-09-02 15:00:00+02:00;9.00;352.00;50.00;302.00;2023-09-02 13:00:00+00:00;54.00;54.00;54.00
2023-09-02;16;92.00;0.57;0.01;0.00;0.87;2023-09-02 16:00:00+02:00;9.00;372.00;31.00;341.00;2023-09-02 14:00:00+00:00;54.00;54.00;54.00
2023-09-02;17;100.00;0.57;0.01;0.00;0.87;2023-09-02 17:00:00+02:00;9.00;358.00;34.00;324.00;2023-09-02 15:00:00+00:00;55.00;55.00;55.00
2023-09-02;18;100.00;0.57;0.01;0.00;0.87;2023-09-02 18:00:00+02:00;9.00;393.00;23.00;370.00;2023-09-02 16:00:00+00:00;54.00;55.00;54.00
2023-09-02;19;100.00;0.57;0.01;0.00;0.87;2023-09-02 19:00:00+02:00;9.00;364.00;29.00;335.00;2023-09-02 17:00:00+00:00;54.00;54.00;54.00
2023-09-02;20;100.00;0.57;0.01;0.00;0.87;2023-09-02 20:00:00+02:00;9.00;319.00;23.00;296.00;2023-09-02 18:00:00+00:00;52.00;52.00;52.00
2023-09-02;21;100.00;0.57;0.01;0.00;0.87;2023-09-02 21:00:00+02:00;9.00;254.00;12.00;242.00;2023-09-02 19:00:00+00:00;52.00;54.00;52.00
2023-09-02;22;100.00;0.57;0.01;0.00;0.87;2023-09-02 22:00:00+02:00;9.00;225.00;21.00;204.00;2023-09-02 20:00:00+00:00;55.00;54.00;55.00
2023-09-02;23;100.00;0.57;0.01;0.00;0.87;2023-09-02 23:00:00+02:00;9.00;220.00;28.00;192.00;2023-09-02 21:00:00+00:00;53.00;54.00;53.00
2023-09-03;0;100.00;0.57;0.01;0.00;0.87;2023-09-03 00:00:00+02:00;9.00;177.00;9.00;168.00;2023-09-02 22:00:00+00:00;53.00;52.00;53.00
2023-09-03;1;100.00;0.57;0.01;0.00;0.87;2023-09-03 01:00:00+02:00;9.00;133.00;2.00;131.00;2023-09-02 23:00:00+00:00;57.00;59.00;57.00
2023-09-03;2;100.00;0.58;0.11;0.00;0.89;2023-09-03 02:00:00+02:00;9.00;104.00;3.00;101.00;2023-09-03 00:00:00+00:00;55.00;56.00;55.00
2023-09-03;3;100.00;0.58;0.11;0.00;0.89;2023-09-03 03:00:00+02:00;9.00;72.00;1.00;71.00;2023-09-03 01:00:00+00:00;57.00;59.00;56.00
2023-09-03;4;100.00;0.58;0.11;0.00;0.89;2023-09-03 04:00:00+02:00;9.00;73.00;2.00;71.00;2023-09-03 02:00:00+00:00;57.00;56.00;57.00
2023-09-03;5;92.00;0.58;0.11;0.00;0.89;2023-09-03 05:00:00+02:00;9.00;62.00;2.00;60.00;2023-09-03 03:00:00+00:00;54.00;54.00;54.00
2023-09-03;6;92.00;0.58;0.11;0.00;0.89;2023-09-03 06:00:00+02:00;9.00;76.00;2.00;74.00;2023-09-03 04:00:00+00:00;57.00;58.00;57.00
2023-09-03;7;92.00;0.58;0.11;0.00;0.89;2023-09-03 07:00:00+02:00;9.00;71.00;3.00;68.00;2023-09-03 05:00:00+00:00;54.00;55.00;54.00
2023-09-03;8;92.00;0.58;0.11;0.00;0.89;2023-09-03 08:00:00+02:00;9.00;92.00;8.00;84.00;2023-09-03 06:00:00+00:00;57.00;58.00;57.00
2023-09-03;9;100.00;0.58;0.11;0.00;0.89;2023-09-03 09:00:00+02:00;9.00;127.00;4.00;123.00;2023-09-03 07:00:00+00:00;53.00;53.00;53.00
2023-09-03;10;100.00;0.58;0.11;0.00;0.89;2023-09-03 10:00:00+02:00;9.00;260.00;8.00;252.00;2023-09-03 08:00:00+00:00;54.00;54.00;54.00
2023-09-03;11;100.00;0.58;0.11;0.00;0.89;2023-09-03 11:00:00+02:00;9.00;247.00;2.00;245.00;2023-09-03 09:00:00+00:00;53.00;53.00;53.00
2023-09-03;12;100.00;0.58;0.11;0.00;0.89;2023-09-03 12:00:00+02:00;9.00;281.00;4.00;277.00;2023-09-03 10:00:00+00:00;54.00;54.00;54.00
2023-09-03;13;100.00;0.58;0.11;0.00;0.89;2023-09-03 13:00:00+02:00;9.00;302.00;10.00;292.00;2023-09-03 11:00:00+00:00;54.00;54.00;54.00
2023-09-03;14;100.00;0.58;0.11;0.00;0.89;2023-09-03 14:00:00+02:00;9.00;322.00;7.00;315.00;2023-09-03 12:00:00+00:00;53.00;53.00;53.00
2023-09-03;15;100.00;0.58;0.11;0.00;0.89;2023-09-03 15:00:00+02:00;9.00;320.00;10.00;310.00;2023-09-03 13:00:00+00:00;53.00;53.00;53.00
2023-09-03;16;100.00;0.58;0.11;0.00;0.89;2023-09-03 16:00:00+02:00;9.00;322.00;14.00;308.00;2023-09-03 14:00:00+00:00;54.00;54.00;54.00
2023-09-03;17;100.00;0.58;0.11;0.00;0.89;2023-09-03 17:00:00+02:00;9.00;332.00;13.00;319.00;2023-09-03 15:00:00+00:00;54.00;55.00;54.00
2023-09-03;18;92.00;0.58;0.11;0.00;0.89;2023-09-03 18:00:00+02:00;9.00;362.00;33.00;329.00;2023-09-03 16:00:00+00:00;53.00;53.00;53.00
2023-09-03;19;92.00;0.58;0.11;0.00;0.89;2023-09-03 19:00:00+02:00;9.00;340.00;39.00;301.00;2023-09-03 17:00:00+00:00;53.00;53.00;53.00
2023-09-03;20;92.00;0.58;0.11;0.00;0.89;2023-09-03 20:00:00+02:00;9.00;261.00;19.00;242.00;2023-09-03 18:00:00+00:00;52.00;52.00;52.00
2023-09-03;21;92.00;0.58;0.11;0.00;0.89;2023-09-03 21:00:00+02:00;9.00;225.00;10.00;215.00;2023-09-03 19:00:00+00:00;52.00;52.00;52.00
2023-09-03;22;92.00;0.58;0.11;0.00;0.89;2023-09-03 22:00:00+02:00;9.00;167.00;23.00;144.00;2023-09-03 20:00:00+00:00;53.00;53.00;54.00
2023-09-03;23;100.00;0.58;0.11;0.00;0.89;2023-09-03 23:00:00+02:00;9.00;129.00;12.00;117.00;2023-09-03 21:00:00+00:00;55.00;56.00;55.00
2023-09-04;0;100.00;0.58;0.11;0.00;0.89;2023-09-04 00:00:00+02:00;9.00;86.00;7.00;79.00;2023-09-03 22:00:00+00:00;55.00;53.00;55.00
2023-09-04;1;100.00;0.58;0.11;0.00;0.89;2023-09-04 01:00:00+02:00;9.00;71.00;9.00;62.00;2023-09-03 23:00:00+00:00;54.00;53.00;55.00
2023-09-04;2;100.00;0.34;0.55;0.00;0.93;2023-09-04 02:00:00+02:00;9.00;47.00;4.00;43.00;2023-09-04 00:00:00+00:00;55.00;55.00;55.00
2023-09-04;3;100.00;0.34;0.55;0.00;0.93;2023-09-04 03:00:00+02:00;9.00;36.00;1.00;35.00;2023-09-04 01:00:00+00:00;54.00;54.00;54.00
2023-09-04;4;100.00;0.34;0.55;0.00;0.93;2023-09-04 04:00:00+02:00;9.00;36.00;3.00;33.00;2023-09-04 02:00:00+00:00;55.00;51.00;55.00
2023-09-04;5;100.00;0.34;0.55;0.00;0.93;2023-09-04 05:00:00+02:00;9.00;91.00;5.00;86.00;2023-09-04 03:00:00+00:00;56.00;54.00;56.00
2023-09-04;6;100.00;0.34;0.55;0.00;0.93;2023-09-04 06:00:00+02:00;9.00;210.00;17.00;193.00;2023-09-04 04:00:00+00:00;54.00;54.00;54.00
2023-09-04;7;92.00;0.34;0.55;0.00;0.93;2023-09-04 07:00:00+02:00;9.00;336.00;39.00;297.00;2023-09-04 05:00:00+00:00;53.00;53.00;54.00
2023-09-04;8;100.00;0.34;0.55;0.00;0.93;2023-09-04 08:00:00+02:00;9.00;492.00;45.00;447.00;2023-09-04 06:00:00+00:00;53.00;53.00;53.00
2023-09-04;9;100.00;0.34;0.55;0.00;0.93;2023-09-04 09:00:00+02:00;9.00;493.00;37.00;456.00;2023-09-04 07:00:00+00:00;52.00;52.00;52.00
2023-09-04;10;100.00;0.34;0.55;0.00;0.93;2023-09-04 10:00:00+02:00;9.00;418.00;28.00;390.00;2023-09-04 08:00:00+00:00;51.00;50.00;51.00
2023-09-04;11;100.00;0.34;0.55;0.00;0.93;2023-09-04 11:00:00+02:00;9.00;418.00;17.00;401.00;2023-09-04 09:00:00+00:00;51.00;51.00;51.00
2023-09-04;12;100.00;0.34;0.55;0.00;0.93;2023-09-04 12:00:00+02:00;9.00;358.00;24.00;334.00;2023-09-04 10:00:00+00:00;53.00;53.00;53.00
2023-09-04;13;100.00;0.34;0.55;0.00;0.93;2023-09-04 13:00:00+02:00;9.00;375.00;25.00;350.00;2023-09-04 11:00:00+00:00;56.00;56.00;56.00
2023-09-04;14;17.00;0.34;0.55;0.00;0.93;2023-09-04 14:00:00+02:00;9.00;342.00;36.00;306.00;2023-09-04 12:00:00+00:00;58.00;58.00;58.00
2023-09-05;11;8.00;NaN;NaN;NaN;NaN;2023-09-05 11:00:00+02:00;9.00;0.00;0.00;0.00;2023-09-05 09:00:00+00:00;NaN;NaN;NaN
2023-09-12;7;8.00;NaN;NaN;NaN;NaN;2023-09-12 07:00:00+02:00;9.00;0.00;0.00;0.00;2023-09-12 05:00:00+00:00;NaN;NaN;NaN
2023-09-13;7;83.00;-0.76;-0.43;-1.47;0.84;2023-09-13 07:00:00+02:00;9.00;420.00;26.00;394.00;2023-09-13 05:00:00+00:00;54.00;54.00;54.00
2023-09-13;8;100.00;-0.76;-0.43;-1.47;0.84;2023-09-13 08:00:00+02:00;9.00;540.00;27.00;513.00;2023-09-13 06:00:00+00:00;52.00;51.00;52.00
2023-09-13;9;100.00;-0.76;-0.43;-1.47;0.84;2023-09-13 09:00:00+02:00;9.00;459.00;59.00;400.00;2023-09-13 07:00:00+00:00;53.00;53.00;53.00
2023-09-13;10;100.00;-0.76;-0.43;-1.47;0.84;2023-09-13 10:00:00+02:00;9.00;412.00;61.00;351.00;2023-09-13 08:00:00+00:00;53.00;53.00;53.00
2023-09-13;11;100.00;-0.76;-0.43;-1.47;0.84;2023-09-13 11:00:00+02:00;9.00;417.00;80.00;337.00;2023-09-13 09:00:00+00:00;52.00;52.00;52.00
2023-09-13;12;92.00;-0.76;-0.43;-1.47;0.84;2023-09-13 12:00:00+02:00;9.00;362.00;62.00;300.00;2023-09-13 10:00:00+00:00;54.00;53.00;54.00
2023-09-13;13;100.00;-0.76;-0.43;-1.47;0.84;2023-09-13 13:00:00+02:00;9.00;447.00;120.00;327.00;2023-09-13 11:00:00+00:00;52.00;52.00;52.00
2023-09-13;14;92.00;-0.76;-0.43;-1.47;0.84;2023-09-13 14:00:00+02:00;9.00;564.00;108.00;456.00;2023-09-13 12:00:00+00:00;51.00;51.00;51.00
2023-09-13;15;92.00;-0.76;-0.43;-1.47;0.84;2023-09-13 15:00:00+02:00;9.00;589.00;26.00;563.00;2023-09-13 13:00:00+00:00;51.00;51.00;50.00
2023-09-13;16;92.00;-0.76;-0.43;-1.47;0.84;2023-09-13 16:00:00+02:00;9.00;525.00;41.00;483.00;2023-09-13 14:00:00+00:00;53.00;53.00;53.00
2023-09-13;17;92.00;-0.76;-0.43;-1.47;0.84;2023-09-13 17:00:00+02:00;9.00;509.00;74.00;435.00;2023-09-13 15:00:00+00:00;51.00;51.00;51.00
2023-09-13;18;92.00;-0.76;-0.43;-1.47;0.84;2023-09-13 18:00:00+02:00;9.00;490.00;12.00;478.00;2023-09-13 16:00:00+00:00;51.00;52.00;51.00
2023-09-13;19;100.00;-0.76;-0.43;-1.47;0.84;2023-09-13 19:00:00+02:00;9.00;478.00;11.00;467.00;2023-09-13 17:00:00+00:00;51.00;51.00;51.00
2023-09-13;20;92.00;-0.76;-0.43;-1.47;0.84;2023-09-13 20:00:00+02:00;9.00;324.00;8.00;316.00;2023-09-13 18:00:00+00:00;52.00;53.00;52.00
2023-09-13;21;100.00;-0.76;-0.43;-1.47;0.84;2023-09-13 21:00:00+02:00;9.00;249.00;36.00;213.00;2023-09-13 19:00:00+00:00;52.00;52.00;52.00
2023-09-13;22;75.00;-0.76;-0.43;-1.47;0.84;2023-09-13 22:00:00+02:00;9.00;241.00;12.00;229.00;2023-09-13 20:00:00+00:00;52.00;52.00;52.00
2023-09-13;23;83.00;-0.76;-0.43;-1.47;0.84;2023-09-13 23:00:00+02:00;9.00;148.00;11.00;137.00;2023-09-13 21:00:00+00:00;53.00;55.00;53.00
2023-09-14;0;83.00;-0.76;-0.43;-1.47;0.84;2023-09-14 00:00:00+02:00;9.00;143.00;5.00;138.00;2023-09-13 22:00:00+00:00;55.00;55.00;55.00
2023-09-14;1;100.00;-0.76;-0.43;-1.47;0.84;2023-09-14 01:00:00+02:00;9.00;81.00;5.00;76.00;2023-09-13 23:00:00+00:00;54.00;55.00;54.00
2023-09-14;2;100.00;0.05;0.56;0.00;0.94;2023-09-14 02:00:00+02:00;9.00;47.00;2.00;45.00;2023-09-14 00:00:00+00:00;56.00;55.00;56.00
2023-09-14;3;100.00;0.05;0.56;0.00;0.94;2023-09-14 03:00:00+02:00;9.00;30.00;2.00;28.00;2023-09-14 01:00:00+00:00;58.00;54.00;58.00
