Datum (Ortszeit);Stunde des Tages (Ortszeit);Vollständigkeit;ZScore_Det0;ZScore_Det1;ZScore_Det2;hist_cor;localTime;month;qkfz;qlkw;qpkw;utc;vkfz;vlkw;vpkw
2023-09-01;0;100.00;0.00;0.00;0.00;0.92;2023-09-01 00:00:00+02:00;8.00;42.00;0.00;42.00;2023-08-31 22:00:00+00:00;45.00;NaN;45.00
2023-09-01;1;100.00;0.00;0.00;0.00;0.92;2023-09-01 01:00:00+02:00;8.00;18.00;0.00;18.00;2023-08-31 23:00:00+00:00;46.00;NaN;46.00
2023-09-01;2;100.00;0.00;0.00;0.00;0.93;2023-09-01 02:00:00+02:00;9.00;12.00;1.00;11.00;2023-09-01 00:00:00+00:00;43.00;48.00;42.00
2023-09-01;3;100.00;0.00;0.00;0.00;0.93;2023-09-01 03:00:00+02:00;9.00;10.00;2.00;8.00;2023-09-01 01:00:00+00:00;45.00;46.00;45.00
2023-09-01;4;100.00;0.00;0.00;0.00;0.93;2023-09-01 04:00:00+02:00;9.00;13.00;0.00;13.00;2023-09-01 02:00:00+00:00;44.00;NaN;44.00
2023-09-01;5;100.00;0.00;0.00;0.00;0.93;2023-09-01 05:00:00+02:00;9.00;32.00;1.00;31.00;2023-09-01 03:00:00+00:00;50.00;50.00;50.00
2023-09-01;6;100.00;0.00;0.00;0.00;0.93;2023-09-01 06:00:00+02:00;9.00;69.00;2.00;67.00;2023-09-01 04:00:00+00:00;43.00;46.00;43.00
2023-09-01;7;100.00;0.00;0.00;0.00;0.93;2023-09-01 07:00:00+02:00;9.00;217.00;12.00;205.00;2023-09-01 05:00:00+00:00;43.00;43.00;43.00
2023-09-01;8;100.00;0.00;0.00;0.00;0.93;2023-09-01 08:00:00+02:00;9.00;355.00;12.00;343.00;2023-09-01 06:00:00+00:00;42.00;41.00;42.00
2023-09-01;9;100.00;0.00;0.00;0.00;0.93;2023-09-01 09:00:00+02:00;9.00;361.00;8.00;353.00;2023-09-01 07:00:00+00:00;44.00;44.00;44.00
2023-09-01;10;100.00;0.00;0.00;0.00;0.93;2023-09-01 10:00:00+02:00;9.00;401.00;14.00;387.00;2023-09-01 08:00:00+00:00;42.00;41.00;42.00
2023-09-01;11;100.00;0.00;0.00;0.00;0.93;2023-09-01 11:00:00+02:00;9.00;344.00;13.00;331.00;2023-09-01 09:00:00+00:00;46.00;46.00;46.00
2023-09-01;12;75.00;0.00;0.00;0.00;0.93;2023-09-01 12:00:00+02:00;9.00;307.00;7.00;300.00;2023-09-01 10:00:00+00:00;45.00;45.00;45.00
2023-09-01;13;75.00;0.00;0.00;0.00;0.93;2023-09-01 13:00:00+02:00;9.00;351.00;8.00;343.00;2023-09-01 11:00:00+00:00;45.00;45.00;45.00
2023-09-01;14;67.00;0.00;0.00;0.00;0.93;2023-09-01 14:00:00+02:00;9.00;360.00;6.00;354.00;2023-09-01 12:00:00+00:00;45.00;44.00;45.00
2023-09-02;1;8.00;0.00;0.00;0.00;0.93;2023-09-02 01:00:00+02:00;9.00;120.00;12.00;108.00;2023-09-01 23:00:00+00:00;48.00;48.00;48.00
2023-09-02;2;83.00;0.00;0.00;0.00;0.89;2023-09-02 02:00:00+02:00;9.00;28.00;0.00;28.00;2023-09-02 00:00:00+00:00;42.00;NaN;42.00
2023-09-02;3;75.00;0.00;0.00;0.00;0.89;2023-09-02 03:00:00+02:00;9.00;28.00;0.00;28.00;2023-09-02 01:00:00+00:00;43.00;NaN;43.00
2023-09-02;4;67.00;0.00;0.00;0.00;0.89;2023-09-02 04:00:00+02:00;9.00;15.00;0.00;15.00;2023-09-02 02:00:00+00:00;43.00;NaN;43.00
2023-09-02;5;100.00;0.00;0.00;0.00;0.89;2023-09-02 05:00:00+02:00;9.00;21.00;2.00;19.00;2023-09-02 03:00:00+00:00;46.00;36.00;47.00
2023-09-02;6;100.00;0.00;0.00;0.00;0.89;2023-09-02 06:00:00+02:00;9.00;31.00;4.00;27.00;2023-09-02 04:00:00+00:00;49.00;53.00;48.00
2023-09-02;7;100.00;0.00;0.00;0.00;0.89;2023-09-02 07:00:00+02:00;9.00;46.00;3.00;43.00;2023-09-02 05:00:00+00:00;48.00;47.00;48.00
2023-09-02;8;100.00;0.00;0.00;0.00;0.89;2023-09-02 08:00:00+02:00;9.00;71.00;4.00;67.00;2023-09-02 06:00:00+00:00;46.00;47.00;46.00
2023-09-02;9;92.00;0.00;0.00;0.00;0.89;2023-09-02 09:00:00+02:00;9.00;170.00;8.00;163.00;2023-09-02 07:00:00+00:00;46.00;47.00;46.00
2023-09-02;10;75.00;0.00;0.00;0.00;0.89;2023-09-02 10:00:00+02:00;9.00;276.00;7.00;269.00;2023-09-02 08:00:00+00:00;45.00;45.00;46.00
2023-09-02;11;83.00;0.00;0.00;0.00;0.89;2023-09-02 11:00:00+02:00;9.00;246.00;2.00;244.00;2023-09-02 09:00:00+00:00;46.00;46.00;46.00
2023-09-02;12;83.00;0.00;0.00;0.00;0.89;2023-09-02 12:00:00+02:00;9.00;277.00;8.00;269.00;2023-09-02 10:00:00+00:00;46.00;46.00;46.00
2023-09-02;13;8.00;0.00;0.00;0.00;0.89;2023-09-02 13:00:00+02:00;9.00;456.00;24.00;432.00;2023-09-02 11:00:00+00:00;46.00;46.00;46.00
2023-09-03;0;50.00;0.00;0.00;0.00;0.89;2023-09-03 00:00:00+02:00;9.00;78.00;2.00;76.00;2023-09-02 22:00:00+00:00;46.00;52.00;46.00
2023-09-03;1;83.00;0.00;0.00;0.00;0.89;2023-09-03 01:00:00+02:00;9.00;77.00;0.00;77.00;2023-09-02 23:00:00+00:00;48.00;NaN;48.00
2023-09-03;2;92.00;0.00;0.00;0.00;0.84;2023-09-03 02:00:00+02:00;9.00;69.00;0.00;69.00;2023-09-03 00:00:00+00:00;48.00;NaN;48.00
2023-09-03;3;92.00;0.00;0.00;0.00;0.84;2023-09-03 03:00:00+02:00;9.00;28.00;0.00;28.00;2023-09-03 01:00:00+00:00;47.00;NaN;47.00
2023-09-03;4;83.00;0.00;0.00;0.00;0.84;2023-09-03 04:00:00+02:00;9.00;24.00;1.00;23.00;2023-09-03 02:00:00+00:00;46.00;50.00;46.00
