Datum (Ortszeit);Stunde des Tages (Ortszeit);Vollständigkeit;ZScore_Det0;ZScore_Det1;ZScore_Det2;hist_cor;localTime;month;qkfz;qlkw;qpkw;utc;vkfz;vlkw;vpkw
2023-09-04;21;100.00;-0.98;0.00;0.26;0.87;2023-09-04 21:00:00+02:00;9.00;227.00;0.00;227.00;2023-09-04 19:00:00+00:00;59.00;NaN;59.00
2023-09-04;22;100.00;-0.98;0.00;0.26;0.87;2023-09-04 22:00:00+02:00;9.00;128.00;0.00;128.00;2023-09-04 20:00:00+00:00;60.00;NaN;60.00
2023-09-04;23;100.00;-0.98;0.00;0.26;0.87;2023-09-04 23:00:00+02:00;9.00;82.00;1.00;81.00;2023-09-04 21:00:00+00:00;63.00;74.00;63.00
2023-09-05;0;83.00;-0.98;0.00;0.26;0.87;2023-09-05 00:00:00+02:00;9.00;60.00;5.00;55.00;2023-09-04 22:00:00+00:00;63.00;61.00;63.00
2023-09-05;1;33.00;-0.98;0.00;0.26;0.87;2023-09-05 01:00:00+02:00;9.00;54.00;0.00;54.00;2023-09-04 23:00:00+00:00;64.00;NaN;64.00
2023-09-05;11;8.00;NaN;NaN;NaN;NaN;2023-09-05 11:00:00+02:00;9.00;0.00;0.00;0.00;2023-09-05 09:00:00+00:00;NaN;NaN;NaN
2023-09-06;18;17.00;0.62;-1.09;0.46;0.91;2023-09-06 18:00:00+02:00;9.00;396.00;6.00;390.00;2023-09-06 16:00:00+00:00;53.00;50.00;53.00
2023-09-06;19;92.00;0.62;-1.09;0.46;0.91;2023-09-06 19:00:00+02:00;9.00;348.00;5.00;343.00;2023-09-06 17:00:00+00:00;54.00;54.00;54.00
2023-09-06;20;92.00;0.62;-1.09;0.46;0.91;2023-09-06 20:00:00+02:00;9.00;323.00;1.00;322.00;2023-09-06 18:00:00+00:00;51.00;56.00;51.00
2023-09-06;21;92.00;0.62;-1.09;0.46;0.91;2023-09-06 21:00:00+02:00;9.00;236.00;1.00;235.00;2023-09-06 19:00:00+00:00;58.00;56.00;58.00
2023-09-06;22;92.00;0.62;-1.09;0.46;0.91;2023-09-06 22:00:00+02:00;9.00;164.00;4.00;159.00;2023-09-06 20:00:00+00:00;59.00;58.00;59.00
2023-09-06;23;100.00;0.62;-1.09;0.46;0.91;2023-09-06 23:00:00+02:00;9.00;96.00;1.00;95.00;2023-09-06 21:00:00+00:00;62.00;61.00;62.00
2023-09-07;0;92.00;0.62;-1.09;0.46;0.91;2023-09-07 00:00:00+02:00;9.00;70.00;4.00;65.00;2023-09-06 22:00:00+00:00;63.00;66.00;63.00
2023-09-07;1;50.00;0.62;-1.09;0.46;0.91;2023-09-07 01:00:00+02:00;9.00;60.00;4.00;56.00;2023-09-06 23:00:00+00:00;61.00;58.00;61.00
2023-09-07;12;25.00;0.00;-1.09;0.26;0.84;2023-09-07 12:00:00+02:00;9.00;532.00;20.00;512.00;2023-09-07 10:00:00+00:00;52.00;52.00;52.00
2023-09-07;13;100.00;0.00;-1.09;0.26;0.84;2023-09-07 13:00:00+02:00;9.00;464.00;18.00;446.00;2023-09-07 11:00:00+00:00;58.00;58.00;58.00
2023-09-07;14;100.00;0.00;-1.09;0.26;0.84;2023-09-07 14:00:00+02:00;9.00;437.00;9.00;428.00;2023-09-07 12:00:00+00:00;56.00;56.00;56.00
2023-09-07;15;100.00;0.00;-1.09;0.26;0.84;2023-09-07 15:00:00+02:00;9.00;455.00;5.00;450.00;2023-09-07 13:00:00+00:00;55.00;55.00;55.00
2023-09-07;16;100.00;0.00;-1.09;0.26;0.84;2023-09-07 16:00:00+02:00;9.00;460.00;10.00;450.00;2023-09-07 14:00:00+00:00;54.00;55.00;54.00
2023-09-07;17;100.00;0.00;-1.09;0.26;0.84;2023-09-07 17:00:00+02:00;9.00;472.00;5.00;467.00;2023-09-07 15:00:00+00:00;54.00;56.00;54.00
2023-09-07;18;92.00;0.00;-1.09;0.26;0.84;2023-09-07 18:00:00+02:00;9.00;456.00;7.00;449.00;2023-09-07 16:00:00+00:00;52.00;52.00;52.00
2023-09-07;19;92.00;0.00;-1.09;0.26;0.84;2023-09-07 19:00:00+02:00;9.00;349.00;8.00;341.00;2023-09-07 17:00:00+00:00;55.00;55.00;55.00
2023-09-07;20;75.00;0.00;-1.09;0.26;0.84;2023-09-07 20:00:00+02:00;9.00;323.00;8.00;315.00;2023-09-07 18:00:00+00:00;57.00;56.00;57.00
2023-09-07;21;83.00;0.00;-1.09;0.26;0.84;2023-09-07 21:00:00+02:00;9.00;234.00;1.00;233.00;2023-09-07 19:00:00+00:00;59.00;60.00;59.00
2023-09-07;22;100.00;0.00;-1.09;0.26;0.84;2023-09-07 22:00:00+02:00;9.00;179.00;1.00;178.00;2023-09-07 20:00:00+00:00;58.00;54.00;58.00
2023-09-07;23;17.00;0.00;-1.09;0.26;0.84;2023-09-07 23:00:00+02:00;9.00;114.00;0.00;114.00;2023-09-07 21:00:00+00:00;58.00;NaN;58.00
2023-09-10;12;8.00;0.23;0.00;-0.49;0.58;2023-09-10 12:00:00+02:00;9.00;444.00;0.00;444.00;2023-09-10 10:00:00+00:00;60.00;NaN;60.00
2023-09-10;13;83.00;0.23;0.00;-0.49;0.58;2023-09-10 13:00:00+02:00;9.00;391.00;1.00;390.00;2023-09-10 11:00:00+00:00;57.00;61.00;57.00
2023-09-10;14;92.00;0.23;0.00;-0.49;0.58;2023-09-10 14:00:00+02:00;9.00;432.00;3.00;429.00;2023-09-10 12:00:00+00:00;54.00;56.00;54.00
2023-09-10;15;92.00;0.23;0.00;-0.49;0.58;2023-09-10 15:00:00+02:00;9.00;373.00;1.00;372.00;2023-09-10 13:00:00+00:00;55.00;57.00;55.00
2023-09-10;16;92.00;0.23;0.00;-0.49;0.58;2023-09-10 16:00:00+02:00;9.00;483.00;2.00;481.00;2023-09-10 14:00:00+00:00;55.00;55.00;55.00
2023-09-10;17;100.00;0.23;0.00;-0.49;0.58;2023-09-10 17:00:00+02:00;9.00;542.00;4.00;538.00;2023-09-10 15:00:00+00:00;55.00;55.00;55.00
2023-09-10;18;100.00;0.23;0.00;-0.49;0.58;2023-09-10 18:00:00+02:00;9.00;557.00;2.00;555.00;2023-09-10 16:00:00+00:00;52.00;53.00;52.00
2023-09-10;19;92.00;0.23;0.00;-0.49;0.58;2023-09-10 19:00:00+02:00;9.00;502.00;3.00;499.00;2023-09-10 17:00:00+00:00;53.00;55.00;53.00
2023-09-11;16;100.00;-1.05;0.00;-2.18;0.23;2023-09-11 16:00:00+02:00;9.00;425.00;4.00;421.00;2023-09-11 14:00:00+00:00;55.00;55.00;55.00
2023-09-11;17;75.00;-1.05;0.00;-2.18;0.23;2023-09-11 17:00:00+02:00;9.00;431.00;3.00;428.00;2023-09-11 15:00:00+00:00;54.00;54.00;54.00
2023-09-12;12;75.00;0.81;0.00;0.49;0.91;2023-09-12 12:00:00+02:00;9.00;423.00;12.00;411.00;2023-09-12 10:00:00+00:00;58.00;57.00;58.00
2023-09-12;13;100.00;0.81;0.00;0.49;0.91;2023-09-12 13:00:00+02:00;9.00;451.00;9.00;442.00;2023-09-12 11:00:00+00:00;56.00;57.00;56.00
