Datum (Ortszeit);Stunde des Tages (Ortszeit);Vollständigkeit;ZScore_Det0;ZScore_Det1;ZScore_Det2;hist_cor;localTime;month;qkfz;qlkw;qpkw;utc;vkfz;vlkw;vpkw
2023-09-01;0;100.00;0.00;NaN;0.17;0.93;2023-09-01 00:00:00+02:00;8.00;73.00;9.00;64.00;2023-08-31 22:00:00+00:00;54.00;52.00;55.00
2023-09-01;1;92.00;0.00;NaN;0.17;0.93;2023-09-01 01:00:00+02:00;8.00;38.00;5.00;33.00;2023-08-31 23:00:00+00:00;53.00;53.00;53.00
2023-09-01;2;100.00;0.00;NaN;-0.34;0.93;2023-09-01 02:00:00+02:00;9.00;41.00;8.00;33.00;2023-09-01 00:00:00+00:00;52.00;50.00;53.00
2023-09-01;3;83.00;0.00;NaN;-0.34;0.93;2023-09-01 03:00:00+02:00;9.00;38.00;10.00;29.00;2023-09-01 01:00:00+00:00;54.00;58.00;53.00
2023-09-01;4;100.00;0.00;NaN;-0.34;0.93;2023-09-01 04:00:00+02:00;9.00;84.00;8.00;76.00;2023-09-01 02:00:00+00:00;58.00;56.00;58.00
2023-09-01;5;100.00;0.00;NaN;-0.34;0.93;2023-09-01 05:00:00+02:00;9.00;293.00;28.00;265.00;2023-09-01 03:00:00+00:00;56.00;59.00;56.00
2023-09-01;6;92.00;0.00;NaN;-0.34;0.93;2023-09-01 06:00:00+02:00;9.00;563.00;70.00;493.00;2023-09-01 04:00:00+00:00;50.00;50.00;51.00
2023-09-01;7;92.00;0.00;NaN;-0.34;0.93;2023-09-01 07:00:00+02:00;9.00;554.00;77.00;477.00;2023-09-01 05:00:00+00:00;37.00;37.00;37.00
2023-09-01;8;100.00;0.00;NaN;-0.34;0.93;2023-09-01 08:00:00+02:00;9.00;579.00;97.00;482.00;2023-09-01 06:00:00+00:00;46.00;46.00;46.00
2023-09-01;9;100.00;0.00;NaN;-0.34;0.93;2023-09-01 09:00:00+02:00;9.00;549.00;76.00;473.00;2023-09-01 07:00:00+00:00;48.00;48.00;48.00
2023-09-01;10;100.00;0.00;NaN;-0.34;0.93;2023-09-01 10:00:00+02:00;9.00;521.00;46.00;475.00;2023-09-01 08:00:00+00:00;48.00;49.00;48.00
2023-09-01;11;100.00;0.00;NaN;-0.34;0.93;2023-09-01 11:00:00+02:00;9.00;575.00;48.00;527.00;2023-09-01 09:00:00+00:00;53.00;53.00;53.00
2023-09-01;12;92.00;0.00;NaN;-0.34;0.93;2023-09-01 12:00:00+02:00;9.00;577.00;41.00;536.00;2023-09-01 10:00:00+00:00;52.00;52.00;52.00
2023-09-01;13;92.00;0.00;NaN;-0.34;0.93;2023-09-01 13:00:00+02:00;9.00;641.00;57.00;585.00;2023-09-01 11:00:00+00:00;42.00;41.00;42.00
2023-09-01;14;92.00;0.00;NaN;-0.34;0.93;2023-09-01 14:00:00+02:00;9.00;611.00;62.00;549.00;2023-09-01 12:00:00+00:00;33.00;31.00;33.00
2023-09-01;15;8.00;0.00;NaN;-0.34;0.93;2023-09-01 15:00:00+02:00;9.00;672.00;24.00;648.00;2023-09-01 13:00:00+00:00;37.00;37.00;37.00
2023-09-01;17;42.00;0.00;NaN;-0.34;0.93;2023-09-01 17:00:00+02:00;9.00;684.00;43.00;641.00;2023-09-01 15:00:00+00:00;38.00;38.00;38.00
2023-09-01;18;100.00;0.00;NaN;-0.34;0.93;2023-09-01 18:00:00+02:00;9.00;522.00;48.00;474.00;2023-09-01 16:00:00+00:00;22.00;22.00;22.00
2023-09-01;19;100.00;0.00;NaN;-0.34;0.93;2023-09-01 19:00:00+02:00;9.00;531.00;28.00;503.00;2023-09-01 17:00:00+00:00;21.00;19.00;21.00
2023-09-01;20;100.00;0.00;NaN;-0.34;0.93;2023-09-01 20:00:00+02:00;9.00;473.00;13.00;460.00;2023-09-01 18:00:00+00:00;51.00;52.00;51.00
2023-09-01;21;75.00;0.00;NaN;-0.34;0.93;2023-09-01 21:00:00+02:00;9.00;388.00;5.00;383.00;2023-09-01 19:00:00+00:00;52.00;54.00;52.00
2023-09-01;22;100.00;0.00;NaN;-0.34;0.93;2023-09-01 22:00:00+02:00;9.00;263.00;10.00;253.00;2023-09-01 20:00:00+00:00;56.00;59.00;56.00
2023-09-01;23;100.00;0.00;NaN;-0.34;0.93;2023-09-01 23:00:00+02:00;9.00;204.00;4.00;200.00;2023-09-01 21:00:00+00:00;55.00;56.00;55.00
2023-09-02;0;100.00;0.00;NaN;-0.34;0.93;2023-09-02 00:00:00+02:00;9.00;101.00;5.00;96.00;2023-09-01 22:00:00+00:00;55.00;55.00;55.00
2023-09-02;1;100.00;0.00;NaN;-0.34;0.93;2023-09-02 01:00:00+02:00;9.00;53.00;4.00;49.00;2023-09-01 23:00:00+00:00;54.00;48.00;54.00
